name,label,profile,protocol,floor,room,telemetryTopic,commandTopic,statusTopic,deviceToken,authType,username,password,telemetryUri,commandUri,pskIdentity,pskValue
b01-f01-r205,CoAP Floor 01 Room 205,CoAP-ThermalSensor,coap,1,205,,,campus/b01/f01/r205/status,b01-f01-coap-05-token,psk,,,coap://[node_ip]/f01/r205/telemetry,coap://[gateway_ip]/f01/r205/actuators/hvac,coap_b01-f01-r205,psk-01-05
b01-f01-r206,CoAP Floor 01 Room 206,CoAP-ThermalSensor,coap,1,206,,,campus/b01/f01/r206/status,b01-f01-coap-06-token,psk,,,coap://[node_ip]/f01/r206/telemetry,coap://[gateway_ip]/f01/r206/actuators/hvac,coap_b01-f01-r206,psk-01-06
b01-f01-r207,CoAP Floor 01 Room 207,CoAP-ThermalSensor,coap,1,207,,,campus/b01/f01/r207/status,b01-f01-coap-07-token,psk,,,coap://[node_ip]/f01/r207/telemetry,coap://[gateway_ip]/f01/r207/actuators/hvac,coap_b01-f01-r207,psk-01-07
b01-f01-r208,CoAP Floor 01 Room 208,CoAP-ThermalSensor,coap,1,208,,,campus/b01/f01/r208/status,b01-f01-coap-08-token,psk,,,coap://[node_ip]/f01/r208/telemetry,coap://[gateway_ip]/f01/r208/actuators/hvac,coap_b01-f01-r208,psk-01-08
b01-f01-r209,CoAP Floor 01 Room 209,CoAP-ThermalSensor,coap,1,209,,,campus/b01/f01/r209/status,b01-f01-coap-09-token,psk,,,coap://[node_ip]/f01/r209/telemetry,coap://[gateway_ip]/f01/r209/actuators/hvac,coap_b01-f01-r209,psk-01-09
b01-f01-r210,CoAP Floor 01 Room 210,CoAP-ThermalSensor,coap,1,210,,,campus/b01/f01/r210/status,b01-f01-coap-10-token,psk,,,coap://[node_ip]/f01/r210/telemetry,coap://[gateway_ip]/f01/r210/actuators/hvac,coap_b01-f01-r210,psk-01-10
b01-f02-r101,MQTT Floor 02 Room 101,MQTT-ThermalSensor,mqtt,2,101,campus/b01/f02/r101/telemetry,campus/b01/f02/r101/cmd,campus/b01/f02/r101/status,b01-f02-mqtt-01-token,username_password,mqtt_b01-f02-r101,pass_02_01,,,,
b01-f02-r102,MQTT Floor 02 Room 102,MQTT-ThermalSensor,mqtt,2,102,campus/b01/f02/r102/telemetry,campus/b01/f02/r102/cmd,campus/b01/f02/r102/status,b01-f02-mqtt-02-token,username_password,mqtt_b01-f02-r102,pass_02_02,,,,
b01-f02-r103,MQTT Floor 02 Room 103,MQTT-ThermalSensor,mqtt,2,103,campus/b01/f02/r103/telemetry,campus/b01/f02/r103/cmd,campus/b01/f02/r103/status,b01-f02-mqtt-03-token,username_password,mqtt_b01-f02-r103,pass_02_03,,,,
b01-f02-r104,MQTT Floor 02 Room 104,MQTT-ThermalSensor,mqtt,2,104,campus/b01/f02/r104/telemetry,campus/b01/f02/r104/cmd,campus/b01/f02/r104/status,b01-f02-mqtt-04-token,username_password,mqtt_b01-f02-r104,pass_02_04,,,,
b01-f02-r105,MQTT Floor 02 Room 105,MQTT-ThermalSensor,mqtt,2,105,campus/b01/f02/r105/telemetry,campus/b01/f02/r105/cmd,campus/b01/f02/r105/status,b01-f02-mqtt-05-token,username_password,mqtt_b01-f02-r105,pass_02_05,,,,
b01-f02-r106,MQTT Floor 02 Room 106,MQTT-ThermalSensor,mqtt,2,106,campus/b01/f02/r106/telemetry,campus/b01/f02/r106/cmd,campus/b01/f02/r106/status,b01-f02-mqtt-06-token,username_password,mqtt_b01-f02-r106,pass_02_06,,,,
b01-f02-r107,MQTT Floor 02 Room 107,MQTT-ThermalSensor,mqtt,2,107,campus/b01/f02/r107/telemetry,campus/b01/f02/r107/cmd,campus/b01/f02/r107/status,b01-f02-mqtt-07-token,username_password,mqtt_b01-f02-r107,pass_02_07,,,,
b01-f02-r108,MQTT Floor 02 Room 108,MQTT-ThermalSensor,mqtt,2,108,campus/b01/f02/r108/telemetry,campus/b01/f02/r108/cmd,campus/b01/f02/r108/status,b01-f02-mqtt-08-token,username_password,mqtt_b01-f02-r108,pass_02_08,,,,
b01-f02-r109,MQTT Floor 02 Room 109,MQTT-ThermalSensor,mqtt,2,109,campus/b01/f02/r109/telemetry,campus/b01/f02/r109/cmd,campus/b01/f02/r109/status,b01-f02-mqtt-09-token,username_password,mqtt_b01-f02-r109,pass_02_09,,,,
b01-f02-r110,MQTT Floor 02 Room 110,MQTT-ThermalSensor,mqtt,2,110,campus/b01/f02/r110/telemetry,campus/b01/f02/r110/cmd,campus/b01/f02/r110/status,b01-f02-mqtt-10-token,username_password,mqtt_b01-f02-r110,pass_02_10,,,,
b01-f02-r201,CoAP Floor 02 Room 201,CoAP-ThermalSensor,coap,2,201,,,campus/b01/f02/r201/status,b01-f02-coap-01-token,psk,,,coap://[node_ip]/f02/r201/telemetry,coap://[gateway_ip]/f02/r201/actuators/hvac,coap_b01-f02-r201,psk-02-01
b01-f02-r202,CoAP Floor 02 Room 202,CoAP-ThermalSensor,coap,2,202,,,campus/b01/f02/r202/status,b01-f02-coap-02-token,psk,,,coap://[node_ip]/f02/r202/telemetry,coap://[gateway_ip]/f02/r202/actuators/hvac,coap_b01-f02-r202,psk-02-02
b01-f02-r203,CoAP Floor 02 Room 203,CoAP-ThermalSensor,coap,2,203,,,campus/b01/f02/r203/status,b01-f02-coap-03-token,psk,,,coap://[node_ip]/f02/r203/telemetry,coap://[gateway_ip]/f02/r203/actuators/hvac,coap_b01-f02-r203,psk-02-03
b01-f02-r204,CoAP Floor 02 Room 204,CoAP-ThermalSensor,coap,2,204,,,campus/b01/f02/r204/status,b01-f02-coap-04-token,psk,,,coap://[node_ip]/f02/r204/telemetry,coap://[gateway_ip]/f02/r204/actuators/hvac,coap_b01-f02-r204,psk-02-04
b01-f02-r205,CoAP Floor 02 Room 205,CoAP-ThermalSensor,coap,2,205,,,campus/b01/f02/r205/status,b01-f02-coap-05-token,psk,,,coap://[node_ip]/f02/r205/telemetry,coap://[gateway_ip]/f02/r205/actuators/hvac,coap_b01-f02-r205,psk-02-05
b01-f02-r206,CoAP Floor 02 Room 206,CoAP-ThermalSensor,coap,2,206,,,campus/b01/f02/r206/status,b01-f02-coap-06-token,psk,,,coap://[node_ip]/f02/r206/telemetry,coap://[gateway_ip]/f02/r206/actuators/hvac,coap_b01-f02-r206,psk-02-06
b01-f02-r207,CoAP Floor 02 Room 207,CoAP-ThermalSensor,coap,2,207,,,campus/b01/f02/r207/status,b01-f02-coap-07-token,psk,,,coap://[node_ip]/f02/r207/telemetry,coap://[gateway_ip]/f02/r207/actuators/hvac,coap_b01-f02-r207,psk-02-07
b01-f02-r208,CoAP Floor 02 Room 208,CoAP-ThermalSensor,coap,2,208,,,campus/b01/f02/r208/status,b01-f02-coap-08-token,psk,,,coap://[node_ip]/f02/r208/telemetry,coap://[gateway_ip]/f02/r208/actuators/hvac,coap_b01-f02-r208,psk-02-08
b01-f02-r209,CoAP Floor 02 Room 209,CoAP-ThermalSensor,coap,2,209,,,campus/b01/f02/r209/status,b01-f02-coap-09-token,psk,,,coap://[node_ip]/f02/r209/telemetry,coap://[gateway_ip]/f02/r209/actuators/hvac,coap_b01-f02-r209,psk-02-09
b01-f02-r210,CoAP Floor 02 Room 210,CoAP-ThermalSensor,coap,2,210,,,campus/b01/f02/r210/status,b01-f02-coap-10-token,psk,,,coap://[node_ip]/f02/r210/telemetry,coap://[gateway_ip]/f02/r210/actuators/hvac,coap_b01-f02-r210,psk-02-10
b01-f03-r101,MQTT Floor 03 Room 101,MQTT-ThermalSensor,mqtt,3,101,campus/b01/f03/r101/telemetry,campus/b01/f03/r101/cmd,campus/b01/f03/r101/status,b01-f03-mqtt-01-token,username_password,mqtt_b01-f03-r101,pass_03_01,,,,
b01-f03-r102,MQTT Floor 03 Room 102,MQTT-ThermalSensor,mqtt,3,102,campus/b01/f03/r102/telemetry,campus/b01/f03/r102/cmd,campus/b01/f03/r102/status,b01-f03-mqtt-02-token,username_password,mqtt_b01-f03-r102,pass_03_02,,,,
b01-f03-r103,MQTT Floor 03 Room 103,MQTT-ThermalSensor,mqtt,3,103,campus/b01/f03/r103/telemetry,campus/b01/f03/r103/cmd,campus/b01/f03/r103/status,b01-f03-mqtt-03-token,username_password,mqtt_b01-f03-r103,pass_03_03,,,,
b01-f03-r104,MQTT Floor 03 Room 104,MQTT-ThermalSensor,mqtt,3,104,campus/b01/f03/r104/telemetry,campus/b01/f03/r104/cmd,campus/b01/f03/r104/status,b01-f03-mqtt-04-token,username_password,mqtt_b01-f03-r104,pass_03_04,,,,
b01-f03-r105,MQTT Floor 03 Room 105,MQTT-ThermalSensor,mqtt,3,105,campus/b01/f03/r105/telemetry,campus/b01/f03/r105/cmd,campus/b01/f03/r105/status,b01-f03-mqtt-05-token,username_password,mqtt_b01-f03-r105,pass_03_05,,,,
b01-f03-r106,MQTT Floor 03 Room 106,MQTT-ThermalSensor,mqtt,3,106,campus/b01/f03/r106/telemetry,campus/b01/f03/r106/cmd,campus/b01/f03/r106/status,b01-f03-mqtt-06-token,username_password,mqtt_b01-f03-r106,pass_03_06,,,,
b01-f03-r107,MQTT Floor 03 Room 107,MQTT-ThermalSensor,mqtt,3,107,campus/b01/f03/r107/telemetry,campus/b01/f03/r107/cmd,campus/b01/f03/r107/status,b01-f03-mqtt-07-token,username_password,mqtt_b01-f03-r107,pass_03_07,,,,
b01-f03-r108,MQTT Floor 03 Room 108,MQTT-ThermalSensor,mqtt,3,108,campus/b01/f03/r108/telemetry,campus/b01/f03/r108/cmd,campus/b01/f03/r108/status,b01-f03-mqtt-08-token,username_password,mqtt_b01-f03-r108,pass_03_08,,,,
b01-f03-r109,MQTT Floor 03 Room 109,MQTT-ThermalSensor,mqtt,3,109,campus/b01/f03/r109/telemetry,campus/b01/f03/r109/cmd,campus/b01/f03/r109/status,b01-f03-mqtt-09-token,username_password,mqtt_b01-f03-r109,pass_03_09,,,,
b01-f03-r110,MQTT Floor 03 Room 110,MQTT-ThermalSensor,mqtt,3,110,campus/b01/f03/r110/telemetry,campus/b01/f03/r110/cmd,campus/b01/f03/r110/status,b01-f03-mqtt-10-token,username_password,mqtt_b01-f03-r110,pass_03_10,,,,
b01-f03-r201,CoAP Floor 03 Room 201,CoAP-ThermalSensor,coap,3,201,,,campus/b01/f03/r201/status,b01-f03-coap-01-token,psk,,,coap://[node_ip]/f03/r201/telemetry,coap://[gateway_ip]/f03/r201/actuators/hvac,coap_b01-f03-r201,psk-03-01
b01-f03-r202,CoAP Floor 03 Room 202,CoAP-ThermalSensor,coap,3,202,,,campus/b01/f03/r202/status,b01-f03-coap-02-token,psk,,,coap://[node_ip]/f03/r202/telemetry,coap://[gateway_ip]/f03/r202/actuators/hvac,coap_b01-f03-r202,psk-03-02
b01-f03-r203,CoAP Floor 03 Room 203,CoAP-ThermalSensor,coap,3,203,,,campus/b01/f03/r203/status,b01-f03-coap-03-token,psk,,,coap://[node_ip]/f03/r203/telemetry,coap://[gateway_ip]/f03/r203/actuators/hvac,coap_b01-f03-r203,psk-03-03
b01-f03-r204,CoAP Floor 03 Room 204,CoAP-ThermalSensor,coap,3,204,,,campus/b01/f03/r204/status,b01-f03-coap-04-token,psk,,,coap://[node_ip]/f03/r204/telemetry,coap://[gateway_ip]/f03/r204/actuators/hvac,coap_b01-f03-r204,psk-03-04
b01-f03-r205,CoAP Floor 03 Room 205,CoAP-ThermalSensor,coap,3,205,,,campus/b01/f03/r205/status,b01-f03-coap-05-token,psk,,,coap://[node_ip]/f03/r205/telemetry,coap://[gateway_ip]/f03/r205/actuators/hvac,coap_b01-f03-r205,psk-03-05
b01-f03-r206,CoAP Floor 03 Room 206,CoAP-ThermalSensor,coap,3,206,,,campus/b01/f03/r206/status,b01-f03-coap-06-token,psk,,,coap://[node_ip]/f03/r206/telemetry,coap://[gateway_ip]/f03/r206/actuators/hvac,coap_b01-f03-r206,psk-03-06
b01-f03-r207,CoAP Floor 03 Room 207,CoAP-ThermalSensor,coap,3,207,,,campus/b01/f03/r207/status,b01-f03-coap-07-token,psk,,,coap://[node_ip]/f03/r207/telemetry,coap://[gateway_ip]/f03/r207/actuators/hvac,coap_b01-f03-r207,psk-03-07
b01-f03-r208,CoAP Floor 03 Room 208,CoAP-ThermalSensor,coap,3,208,,,campus/b01/f03/r208/status,b01-f03-coap-08-token,psk,,,coap://[node_ip]/f03/r208/telemetry,coap://[gateway_ip]/f03/r208/actuators/hvac,coap_b01-f03-r208,psk-03-08
b01-f03-r209,CoAP Floor 03 Room 209,CoAP-ThermalSensor,coap,3,209,,,campus/b01/f03/r209/status,b01-f03-coap-09-token,psk,,,coap://[node_ip]/f03/r209/telemetry,coap://[gateway_ip]/f03/r209/actuators/hvac,coap_b01-f03-r209,psk-03-09
b01-f03-r210,CoAP Floor 03 Room 210,CoAP-ThermalSensor,coap,3,210,,,campus/b01/f03/r210/status,b01-f03-coap-10-token,psk,,,coap://[node_ip]/f03/r210/telemetry,coap://[gateway_ip]/f03/r210/actuators/hvac,coap_b01-f03-r210,psk-03-10
b01-f04-r101,MQTT Floor 04 Room 101,MQTT-ThermalSensor,mqtt,4,101,campus/b01/f04/r101/telemetry,campus/b01/f04/r101/cmd,campus/b01/f04/r101/status,b01-f04-mqtt-01-token,username_password,mqtt_b01-f04-r101,pass_04_01,,,,
b01-f04-r102,MQTT Floor 04 Room 102,MQTT-ThermalSensor,mqtt,4,102,campus/b01/f04/r102/telemetry,campus/b01/f04/r102/cmd,campus/b01/f04/r102/status,b01-f04-mqtt-02-token,username_password,mqtt_b01-f04-r102,pass_04_02,,,,
b01-f04-r103,MQTT Floor 04 Room 103,MQTT-ThermalSensor,mqtt,4,103,campus/b01/f04/r103/telemetry,campus/b01/f04/r103/cmd,campus/b01/f04/r103/status,b01-f04-mqtt-03-token,username_password,mqtt_b01-f04-r103,pass_04_03,,,,
b01-f04-r104,MQTT Floor 04 Room 104,MQTT-ThermalSensor,mqtt,4,104,campus/b01/f04/r104/telemetry,campus/b01/f04/r104/cmd,campus/b01/f04/r104/status,b01-f04-mqtt-04-token,username_password,mqtt_b01-f04-r104,pass_04_04,,,,
b01-f04-r105,MQTT Floor 04 Room 105,MQTT-ThermalSensor,mqtt,4,105,campus/b01/f04/r105/telemetry,campus/b01/f04/r105/cmd,campus/b01/f04/r105/status,b01-f04-mqtt-05-token,username_password,mqtt_b01-f04-r105,pass_04_05,,,,
b01-f04-r106,MQTT Floor 04 Room 106,MQTT-ThermalSensor,mqtt,4,106,campus/b01/f04/r106/telemetry,campus/b01/f04/r106/cmd,campus/b01/f04/r106/status,b01-f04-mqtt-06-token,username_password,mqtt_b01-f04-r106,pass_04_06,,,,
b01-f04-r107,MQTT Floor 04 Room 107,MQTT-ThermalSensor,mqtt,4,107,campus/b01/f04/r107/telemetry,campus/b01/f04/r107/cmd,campus/b01/f04/r107/status,b01-f04-mqtt-07-token,username_password,mqtt_b01-f04-r107,pass_04_07,,,,
b01-f04-r108,MQTT Floor 04 Room 108,MQTT-ThermalSensor,mqtt,4,108,campus/b01/f04/r108/telemetry,campus/b01/f04/r108/cmd,campus/b01/f04/r108/status,b01-f04-mqtt-08-token,username_password,mqtt_b01-f04-r108,pass_04_08,,,,
b01-f04-r109,MQTT Floor 04 Room 109,MQTT-ThermalSensor,mqtt,4,109,campus/b01/f04/r109/telemetry,campus/b01/f04/r109/cmd,campus/b01/f04/r109/status,b01-f04-mqtt-09-token,username_password,mqtt_b01-f04-r109,pass_04_09,,,,
b01-f04-r110,MQTT Floor 04 Room 110,MQTT-ThermalSensor,mqtt,4,110,campus/b01/f04/r110/telemetry,campus/b01/f04/r110/cmd,campus/b01/f04/r110/status,b01-f04-mqtt-10-token,username_password,mqtt_b01-f04-r110,pass_04_10,,,,
b01-f04-r201,CoAP Floor 04 Room 201,CoAP-ThermalSensor,coap,4,201,,,campus/b01/f04/r201/status,b01-f04-coap-01-token,psk,,,coap://[node_ip]/f04/r201/telemetry,coap://[gateway_ip]/f04/r201/actuators/hvac,coap_b01-f04-r201,psk-04-01
b01-f04-r202,CoAP Floor 04 Room 202,CoAP-ThermalSensor,coap,4,202,,,campus/b01/f04/r202/status,b01-f04-coap-02-token,psk,,,coap://[node_ip]/f04/r202/telemetry,coap://[gateway_ip]/f04/r202/actuators/hvac,coap_b01-f04-r202,psk-04-02
b01-f04-r203,CoAP Floor 04 Room 203,CoAP-ThermalSensor,coap,4,203,,,campus/b01/f04/r203/status,b01-f04-coap-03-token,psk,,,coap://[node_ip]/f04/r203/telemetry,coap://[gateway_ip]/f04/r203/actuators/hvac,coap_b01-f04-r203,psk-04-03
b01-f04-r204,CoAP Floor 04 Room 204,CoAP-ThermalSensor,coap,4,204,,,campus/b01/f04/r204/status,b01-f04-coap-04-token,psk,,,coap://[node_ip]/f04/r204/telemetry,coap://[gateway_ip]/f04/r204/actuators/hvac,coap_b01-f04-r204,psk-04-04
b01-f04-r205,CoAP Floor 04 Room 205,CoAP-ThermalSensor,coap,4,205,,,campus/b01/f04/r205/status,b01-f04-coap-05-token,psk,,,coap://[node_ip]/f04/r205/telemetry,coap://[gateway_ip]/f04/r205/actuators/hvac,coap_b01-f04-r205,psk-04-05
b01-f04-r206,CoAP Floor 04 Room 206,CoAP-ThermalSensor,coap,4,206,,,campus/b01/f04/r206/status,b01-f04-coap-06-token,psk,,,coap://[node_ip]/f04/r206/telemetry,coap://[gateway_ip]/f04/r206/actuators/hvac,coap_b01-f04-r206,psk-04-06
b01-f04-r207,CoAP Floor 04 Room 207,CoAP-ThermalSensor,coap,4,207,,,campus/b01/f04/r207/status,b01-f04-coap-07-token,psk,,,coap://[node_ip]/f04/r207/telemetry,coap://[gateway_ip]/f04/r207/actuators/hvac,coap_b01-f04-r207,psk-04-07
b01-f04-r208,CoAP Floor 04 Room 208,CoAP-ThermalSensor,coap,4,208,,,campus/b01/f04/r208/status,b01-f04-coap-08-token,psk,,,coap://[node_ip]/f04/r208/telemetry,coap://[gateway_ip]/f04/r208/actuators/hvac,coap_b01-f04-r208,psk-04-08
b01-f04-r209,CoAP Floor 04 Room 209,CoAP-ThermalSensor,coap,4,209,,,campus/b01/f04/r209/status,b01-f04-coap-09-token,psk,,,coap://[node_ip]/f04/r209/telemetry,coap://[gateway_ip]/f04/r209/actuators/hvac,coap_b01-f04-r209,psk-04-09
b01-f04-r210,CoAP Floor 04 Room 210,CoAP-ThermalSensor,coap,4,210,,,campus/b01/f04/r210/status,b01-f04-coap-10-token,psk,,,coap://[node_ip]/f04/r210/telemetry,coap://[gateway_ip]/f04/r210/actuators/hvac,coap_b01-f04-r210,psk-04-10
b01-f05-r101,MQTT Floor 05 Room 101,MQTT-ThermalSensor,mqtt,5,101,campus/b01/f05/r101/telemetry,campus/b01/f05/r101/cmd,campus/b01/f05/r101/status,b01-f05-mqtt-01-token,username_password,mqtt_b01-f05-r101,pass_05_01,,,,
b01-f05-r102,MQTT Floor 05 Room 102,MQTT-ThermalSensor,mqtt,5,102,campus/b01/f05/r102/telemetry,campus/b01/f05/r102/cmd,campus/b01/f05/r102/status,b01-f05-mqtt-02-token,username_password,mqtt_b01-f05-r102,pass_05_02,,,,
b01-f05-r103,MQTT Floor 05 Room 103,MQTT-ThermalSensor,mqtt,5,103,campus/b01/f05/r103/telemetry,campus/b01/f05/r103/cmd,campus/b01/f05/r103/status,b01-f05-mqtt-03-token,username_password,mqtt_b01-f05-r103,pass_05_03,,,,
b01-f05-r104,MQTT Floor 05 Room 104,MQTT-ThermalSensor,mqtt,5,104,campus/b01/f05/r104/telemetry,campus/b01/f05/r104/cmd,campus/b01/f05/r104/status,b01-f05-mqtt-04-token,username_password,mqtt_b01-f05-r104,pass_05_04,,,,
b01-f05-r105,MQTT Floor 05 Room 105,MQTT-ThermalSensor,mqtt,5,105,campus/b01/f05/r105/telemetry,campus/b01/f05/r105/cmd,campus/b01/f05/r105/status,b01-f05-mqtt-05-token,username_password,mqtt_b01-f05-r105,pass_05_05,,,,
b01-f05-r106,MQTT Floor 05 Room 106,MQTT-ThermalSensor,mqtt,5,106,campus/b01/f05/r106/telemetry,campus/b01/f05/r106/cmd,campus/b01/f05/r106/status,b01-f05-mqtt-06-token,username_password,mqtt_b01-f05-r106,pass_05_06,,,,
b01-f05-r107,MQTT Floor 05 Room 107,MQTT-ThermalSensor,mqtt,5,107,campus/b01/f05/r107/telemetry,campus/b01/f05/r107/cmd,campus/b01/f05/r107/status,b01-f05-mqtt-07-token,username_password,mqtt_b01-f05-r107,pass_05_07,,,,
b01-f05-r108,MQTT Floor 05 Room 108,MQTT-ThermalSensor,mqtt,5,108,campus/b01/f05/r108/telemetry,campus/b01/f05/r108/cmd,campus/b01/f05/r108/status,b01-f05-mqtt-08-token,username_password,mqtt_b01-f05-r108,pass_05_08,,,,
b01-f05-r109,MQTT Floor 05 Room 109,MQTT-ThermalSensor,mqtt,5,109,campus/b01/f05/r109/telemetry,campus/b01/f05/r109/cmd,campus/b01/f05/r109/status,b01-f05-mqtt-09-token,username_password,mqtt_b01-f05-r109,pass_05_09,,,,
b01-f05-r110,MQTT Floor 05 Room 110,MQTT-ThermalSensor,mqtt,5,110,campus/b01/f05/r110/telemetry,campus/b01/f05/r110/cmd,campus/b01/f05/r110/status,b01-f05-mqtt-10-token,username_password,mqtt_b01-f05-r110,pass_05_10,,,,
b01-f05-r201,CoAP Floor 05 Room 201,CoAP-ThermalSensor,coap,5,201,,,campus/b01/f05/r201/status,b01-f05-coap-01-token,psk,,,coap://[node_ip]/f05/r201/telemetry,coap://[gateway_ip]/f05/r201/actuators/hvac,coap_b01-f05-r201,psk-05-01
b01-f05-r202,CoAP Floor 05 Room 202,CoAP-ThermalSensor,coap,5,202,,,campus/b01/f05/r202/status,b01-f05-coap-02-token,psk,,,coap://[node_ip]/f05/r202/telemetry,coap://[gateway_ip]/f05/r202/actuators/hvac,coap_b01-f05-r202,psk-05-02
b01-f05-r203,CoAP Floor 05 Room 203,CoAP-ThermalSensor,coap,5,203,,,campus/b01/f05/r203/status,b01-f05-coap-03-token,psk,,,coap://[node_ip]/f05/r203/telemetry,coap://[gateway_ip]/f05/r203/actuators/hvac,coap_b01-f05-r203,psk-05-03
b01-f05-r204,CoAP Floor 05 Room 204,CoAP-ThermalSensor,coap,5,204,,,campus/b01/f05/r204/status,b01-f05-coap-04-token,psk,,,coap://[node_ip]/f05/r204/telemetry,coap://[gateway_ip]/f05/r204/actuators/hvac,coap_b01-f05-r204,psk-05-04
b01-f05-r205,CoAP Floor 05 Room 205,CoAP-ThermalSensor,coap,5,205,,,campus/b01/f05/r205/status,b01-f05-coap-05-token,psk,,,coap://[node_ip]/f05/r205/telemetry,coap://[gateway_ip]/f05/r205/actuators/hvac,coap_b01-f05-r205,psk-05-05
b01-f05-r206,CoAP Floor 05 Room 206,CoAP-ThermalSensor,coap,5,206,,,campus/b01/f05/r206/status,b01-f05-coap-06-token,psk,,,coap://[node_ip]/f05/r206/telemetry,coap://[gateway_ip]/f05/r206/actuators/hvac,coap_b01-f05-r206,psk-05-06
b01-f05-r207,CoAP Floor 05 Room 207,CoAP-ThermalSensor,coap,5,207,,,campus/b01/f05/r207/status,b01-f05-coap-07-token,psk,,,coap://[node_ip]/f05/r207/telemetry,coap://[gateway_ip]/f05/r207/actuators/hvac,coap_b01-f05-r207,psk-05-07
b01-f05-r208,CoAP Floor 05 Room 208,CoAP-ThermalSensor,coap,5,208,,,campus/b01/f05/r208/status,b01-f05-coap-08-token,psk,,,coap://[node_ip]/f05/r208/telemetry,coap://[gateway_ip]/f05/r208/actuators/hvac,coap_b01-f05-r208,psk-05-08
